2/16/2016,0:03:00,Aggravated Assault No Firearm,800 N NEWKIRK ST,-75.18302998,39.97122185
2/11/2016,16:58:00,Aggravated Assault No Firearm,10100 BUSTLETON AV,-75.02697343,40.10670161
1/30/2016,10:10:00,Aggravated Assault No Firearm,4100 EDGLEY AV,-75.21789593,39.99438054
2/13/2016,4:16:00,Aggravated Assault Firearm,4900 PRINCETON AVE,-75.03668531,40.0255742
2/17/2016,19:52:00,Aggravated Assault Firearm,1400 S 19TH ST,-75.17585723,39.93346934
1/26/2016,19:57:00,Aggravated Assault No Firearm,900 TYSON AVE,-75.0801493,40.05234084
1/27/2016,3:01:00,Aggravated Assault No Firearm,2100 S ALDEN ST,-75.22423971,39.93340658
2/2/2016,19:57:00,Aggravated Assault No Firearm,600 EMILY ST,-75.15770779,39.9236899
1/28/2016,15:53:00,Aggravated Assault No Firearm,7300 FRANKFORD AVE,-75.04075335,40.03685027
2/2/2016,10:18:00,Aggravated Assault No Firearm,1300 SPRUCE ST,-75.16275846,39.94853821
2/6/2016,17:32:00,Aggravated Assault No Firearm,200 S 33RD ST,-75.19006215,39.95219341
2/2/2016,12:59:00,Aggravated Assault No Firearm,2500 S 62ND ST,-75.22511796,39.92404466
2/17/2016,19:25:00,Aggravated Assault No Firearm,900 RITNER ST,-75.16213687,39.9195358
2/7/2016,2:40:00,Aggravated Assault No Firearm,3200 COTTMAN AVE,-75.04670064,40.04004253
2/13/2016,0:14:00,Aggravated Assault No Firearm,1700 W GODFREY AVE,-75.14835804,40.04824994
1/29/2016,15:28:00,Aggravated Assault No Firearm,500 N BROAD ST,-75.16124261,39.96344956
1/28/2016,2:07:00,Aggravated Assault No Firearm,1200 LOCUST ST,-75.1608224,39.94771409
2/17/2016,19:21:00,Aggravated Assault No Firearm,S 12TH ST / W MOYAMENSING AV,-75.16708835,39.91896842
1/31/2016,2:02:00,Aggravated Assault No Firearm,1600 BROWN ST 3,-75.16376939,39.968382
1/21/2016,9:55:00,Burglary Residential,3200 GLENVIEW ST,-75.0529902,40.03444425
1/21/2016,14:28:00,Burglary Residential,6500 WHEELER ST,-75.23232534,39.92218174
2/4/2016,22:15:00,Burglary Residential,6500 GRAYS AV,-75.23280265,39.92258249
2/10/2016,19:03:00,Burglary Residential,7400 ALGON AVE,-75.0709142,40.05790553
2/12/2016,10:49:00,Burglary Residential,100 S 46TH ST,-75.21342787,39.9568558
1/24/2016,1:03:00,Burglary Residential,2800 N FRONT ST,-75.13037135,39.99367833
2/5/2016,21:21:00,Burglary Residential,7000 ERDRICK ST,-75.04392944,40.03316199
1/30/2016,23:57:00,Burglary Residential,1800 WHARTON ST,-75.17529182,39.93509999
